# time	AI0	AI1
2.900000000000000147e-02 0.000000000000000000e+00 4.887585532746823065e-03
3.400000000000000244e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.899999999999999994e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.499999999999999833e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.399999999999999939e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.899999999999999689e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000133e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000577e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.399999999999999634e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.900000000000000078e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.400000000000000522e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.999999999999999667e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000111e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.900000000000000466e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.039999999999999952e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.089999999999999997e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.140000000000000041e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.189999999999999947e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.239999999999999991e-01 0.000000000000000000e+00 4.887585532746823065e-03
1.300000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.439999999999999891e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.489999999999999936e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.539999999999999980e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.590000000000000024e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.640000000000000069e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.690000000000000113e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.749999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.799999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.839999999999999969e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.890000000000000013e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.940000000000000058e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.990000000000000102e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.039999999999999869e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.089999999999999913e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.149999999999999967e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000011e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.290000000000000091e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.340000000000000135e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.389999999999999902e-01 0.000000000000000000e+00 4.887585532746823065e-03
2.439999999999999947e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489999999999999991e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.540000000000000036e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e-01 0.000000000000000000e+00 4.887585532746823065e-03
2.650000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.690000000000000169e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.740000000000000213e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.790000000000000258e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.839999999999999747e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.889999999999999791e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.939999999999999836e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.049999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.140000000000000013e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.190000000000000058e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.240000000000000102e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.290000000000000147e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.340000000000000191e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.390000000000000235e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.449999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.539999999999999813e-01 0.000000000000000000e+00 4.887585532746823065e-03
3.589999999999999858e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.639999999999999902e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.689999999999999947e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.739999999999999991e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.790000000000000036e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.850000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.950000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.990000000000000213e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.040000000000000258e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.089999999999999747e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.139999999999999791e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.189999999999999836e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.239999999999999880e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.349999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.390000000000000013e-01 0.000000000000000000e+00 4.887585532746823065e-03
4.440000000000000058e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.490000000000000102e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.540000000000000147e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.590000000000000191e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.640000000000000235e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.749999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00
